model_tag,split,metric,value,ci_low,ci_high,threshold
GNN_GraphSAGE,val@0.5,AUC,0.7339709130937059,0.7247707040207141,0.7431711221666977,0.5
GNN_GraphSAGE,val@0.5,Accuracy,0.6674827711280378,0.6586329962219217,0.6762159058212092,0.5
GNN_GraphSAGE,val@0.5,Sensitivity,0.6795429815016322,0.6671045508004119,0.6917314206164213,0.5
GNN_GraphSAGE,val@0.5,Specificity,0.6554225607544433,0.6427747549940719,0.6678539596566615,0.5
GNN_GraphSAGE,val@0.5,Precision,0.6635381618558527,0.6511070061669236,0.6757469700876962,0.5
GNN_GraphSAGE,val@0.5,F1,0.6714452110025984,0.6624707075549612,0.680392800302548,0.5
GNN_GraphSAGE,val@0.5,Brier,0.20952878617947265,0.20648676278123684,0.21242678541629148,0.5
GNN_GraphSAGE,val@0.5,ECE,0.03380427583998038,0.031065960166996805,0.04000565453522356,0.5
GNN_GraphSAGE,val@J,AUC,0.7339709130937059,0.7247707040207141,0.7431711221666977,0.5324985980987549
GNN_GraphSAGE,val@J,Accuracy,0.6686615886833515,0.6598192515384912,0.6773864646500433,0.5324985980987549
GNN_GraphSAGE,val@J,Sensitivity,0.6186071817192601,0.6057082035232014,0.6313410139582217,0.5324985980987549
GNN_GraphSAGE,val@J,Specificity,0.7187159956474428,0.7066992011777032,0.7304282549118936,0.5324985980987549
GNN_GraphSAGE,val@J,Precision,0.6874244256348246,0.6743859889457476,0.7001728880188262,0.5324985980987549
GNN_GraphSAGE,val@J,F1,0.6512027491408935,0.6411933123508825,0.6609753895672721,0.5324985980987549
GNN_GraphSAGE,val@J,Brier,0.20952878617947265,0.20648676278123684,0.21242678541629148,0.5324985980987549
GNN_GraphSAGE,val@J,ECE,0.03380427583998038,0.031065960166996805,0.04000565453522356,0.5324985980987549
GNN_GraphSAGE,test@J,AUC,0.7469991075768745,0.7301722494838381,0.7638259656699109,0.5324985980987549
GNN_GraphSAGE,test@J,Accuracy,0.7076640660853603,0.696518781199358,0.7185654273222642,0.5324985980987549
GNN_GraphSAGE,test@J,Sensitivity,0.635386119257087,0.6054356807885757,0.664323586935313,0.5324985980987549
GNN_GraphSAGE,test@J,Specificity,0.7210736307580704,0.7090856334198117,0.7327538101732387,0.5324985980987549
GNN_GraphSAGE,test@J,Precision,0.2970749542961609,0.2782965902847982,0.3165646181176642,0.5324985980987549
GNN_GraphSAGE,test@J,F1,0.40485829959514164,0.38750286622660157,0.4222021265380459,0.5324985980987549
GNN_GraphSAGE,test@J,Brier,0.2243391614270177,0.2204348335830147,0.22817110673804816,0.5324985980987549
GNN_GraphSAGE,test@J,ECE,0.32358100798214107,0.3194606642451218,0.3274631676210396,0.5324985980987549
