model_tag,split,metric,value,ci_low,ci_high,threshold
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,AUC,0.7912580825986,0.7769446965814867,0.8055714686157133,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,Accuracy,0.6706440263117638,0.6591537233319771,0.6819338896373559,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,Sensitivity,0.7790811339198436,0.7526407210009936,0.8034334373756866,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,Specificity,0.6505259339862169,0.6378400477026089,0.6630022313640291,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,Precision,0.29258443465491923,0.2758013574538446,0.3099516941591609,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,F1,0.42540699226047507,0.41158997998458347,0.43901226248547165,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,Brier,0.19926160883937924,0.1947094833705241,0.20393705780642277,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@0.5,ECE,0.2758063771333833,0.27032537573697546,0.2812091324185969,0.5
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,AUC,0.7912580825986,0.7769446965814867,0.8055714686157133,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,Accuracy,0.7272449135689154,0.7163172321364556,0.7379056715533195,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,Sensitivity,0.7018572825024438,0.6731128906022937,0.7290913605528183,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,Specificity,0.7319550235763511,0.7201052493650022,0.7434818288593712,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,Precision,0.32695810564663025,0.30765508717765544,0.34686547067771567,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,F1,0.44610127368748065,0.4298487680558234,0.46272835742182067,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,Brier,0.19926160883937924,0.1947094833705241,0.20393705780642277,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,val@J,ECE,0.2758063771333833,0.27032537573697546,0.2812091324185969,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,AUC,0.7893769737814808,0.7751824074710872,0.8035715400918743,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,Accuracy,0.7221967263270613,0.711210497795864,0.7329219610458717,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,Sensitivity,0.6979472140762464,0.669113560622095,0.7252998091547098,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,Specificity,0.726695683714182,0.7147780012881997,0.7382977201977008,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,Precision,0.3214768122467357,0.3023757259985678,0.3411943823990255,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,F1,0.44019728729963004,0.4244251705363581,0.45663855690031074,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,Brier,0.2005598161013092,0.19600835669547725,0.2050559140837978,0.5249895453453064
TopoPool+SAPI_tokens__topopool_sapi_tokens_best,test@J,ECE,0.27537234330540433,0.2699367065958176,0.2806453096070004,0.5249895453453064
