model_tag,split,metric,value,ci_low,ci_high,threshold
GNN_GIN,val@0.5,AUC,0.7359866874953708,0.7268198708397473,0.7451535041509942,0.5
GNN_GIN,val@0.5,Accuracy,0.6725607544432354,0.6637434627401101,0.6812578694678367,0.5
GNN_GIN,val@0.5,Sensitivity,0.6891548784911136,0.6768102804732786,0.7012361015345568,0.5
GNN_GIN,val@0.5,Specificity,0.6559666303953573,0.6433231464261432,0.6683929499561564,0.5
GNN_GIN,val@0.5,Precision,0.667017728629103,0.6546709668649843,0.6791394037173376,0.5
GNN_GIN,val@0.5,F1,0.6779056284006778,0.6690359775179319,0.6870695980246351,0.5
GNN_GIN,val@0.5,Brier,0.20874423477912735,0.20601190758719726,0.2114774765573943,0.5
GNN_GIN,val@0.5,ECE,0.02875868156944166,0.023112178172844885,0.038339695942293923,0.5
GNN_GIN,val@J,AUC,0.7359866874953708,0.7268198708397473,0.7451535041509942,0.5005074143409729
GNN_GIN,val@J,Accuracy,0.6738302502720348,0.6650212606334623,0.6825181791156886,0.5005074143409729
GNN_GIN,val@J,Sensitivity,0.6891548784911136,0.6768102804732786,0.7012361015345568,0.5005074143409729
GNN_GIN,val@J,Specificity,0.6585056220529562,0.6458825474019391,0.6709079970610027,0.5005074143409729
GNN_GIN,val@J,Precision,0.6686609185289459,0.6563129264826095,0.6807810498276665,0.5005074143409729
GNN_GIN,val@J,F1,0.6787532374743235,0.6700080551329097,0.68781590199339,0.5005074143409729
GNN_GIN,val@J,Brier,0.20874423477912735,0.20601190758719726,0.2114774765573943,0.5005074143409729
GNN_GIN,val@J,ECE,0.02875868156944166,0.023112178172844885,0.038339695942293923,0.5005074143409729
GNN_GIN,test@J,AUC,0.7477359682684545,0.731251438412595,0.7642204981243139,0.5005074143409729
GNN_GIN,test@J,Accuracy,0.6634541838763959,0.6519063774124957,0.674809995924781,0.5005074143409729
GNN_GIN,test@J,Sensitivity,0.7018572825024438,0.6731128906022937,0.7290913605528183,0.5005074143409729
GNN_GIN,test@J,Specificity,0.6563293434892999,0.6436887508232544,0.6687522667134226,0.5005074143409729
GNN_GIN,test@J,Precision,0.2747799464217375,0.2580037973527186,0.29221733047577936,0.5005074143409729
GNN_GIN,test@J,F1,0.3949394939493949,0.3800551071330395,0.40972020241781215,0.5005074143409729
GNN_GIN,test@J,Brier,0.20194681351544175,0.19844812322340818,0.20528413746951327,0.5005074143409729
GNN_GIN,test@J,ECE,0.28748275697486597,0.2835330136709715,0.291191861473086,0.5005074143409729
