model_tag,split,metric,value,ci_low,ci_high,threshold
MLP_IMAGE,val@0.5,AUC,0.6743638608302617,0.6644560160665254,0.684271705593998,0.5
MLP_IMAGE,val@0.5,Accuracy,0.6162495466086326,0.6071343899738494,0.6252837434421191,0.5
MLP_IMAGE,val@0.5,Sensitivity,0.7069278200943054,0.6947730250371125,0.7187944935352175,0.5
MLP_IMAGE,val@0.5,Specificity,0.5255712731229597,0.5123780291898408,0.5387289121937688,0.5
MLP_IMAGE,val@0.5,Precision,0.5984034387473135,0.5864441700310637,0.61024671422864,0.5
MLP_IMAGE,val@0.5,F1,0.6481543066178915,0.6401201062683626,0.6566994334019479,0.5
MLP_IMAGE,val@0.5,Brier,0.22770272409297324,0.22541550008625563,0.2297013849877547,0.5
MLP_IMAGE,val@0.5,ECE,0.038733647876149885,0.03347841941707288,0.04531232319899933,0.5
MLP_IMAGE,val@J,AUC,0.6743638608302617,0.6644560160665254,0.684271705593998,0.5579531788825989
MLP_IMAGE,val@J,Accuracy,0.6254987305041712,0.6164233396907866,0.6344867200968112,0.5579531788825989
MLP_IMAGE,val@J,Sensitivity,0.5208560029017048,0.5076602632026034,0.5340227031740995,0.5579531788825989
MLP_IMAGE,val@J,Specificity,0.7301414581066377,0.7182680322857831,0.7416944401667032,0.5579531788825989
MLP_IMAGE,val@J,Precision,0.6587155963302752,0.6445075606572515,0.6726441995659576,0.5579531788825989
MLP_IMAGE,val@J,F1,0.5817297954223213,0.5706395741465499,0.5930170764069244,0.5579531788825989
MLP_IMAGE,val@J,Brier,0.22770272409297324,0.22541550008625563,0.2297013849877547,0.5579531788825989
MLP_IMAGE,val@J,ECE,0.038733647876149885,0.03347841941707288,0.04531232319899933,0.5579531788825989
MLP_IMAGE,test@J,AUC,0.6645137003082174,0.6464668172648259,0.682560583351609,0.5579531788825989
MLP_IMAGE,test@J,Accuracy,0.6949671102952425,0.6836940080780697,0.7060112027954534,0.5579531788825989
MLP_IMAGE,test@J,Sensitivity,0.4897360703812317,0.45919885210208317,0.5203500842798605,0.5579531788825989
MLP_IMAGE,test@J,Specificity,0.7330431628581792,0.7212076992252238,0.744554142462282,0.5579531788825989
MLP_IMAGE,test@J,Precision,0.25392802838317285,0.2352132110541785,0.273599194883898,0.5579531788825989
MLP_IMAGE,test@J,F1,0.33444592790387184,0.3159225289261903,0.3522593063654676,0.5579531788825989
MLP_IMAGE,test@J,Brier,0.24163386661976496,0.23880004420110737,0.24464573966233596,0.5579531788825989
MLP_IMAGE,test@J,ECE,0.33672393304055775,0.33366954104012625,0.3398892853254046,0.5579531788825989
MLP_LANDSCAPE,val@0.5,AUC,0.6899860959980656,0.6802250106238289,0.6997471813723023,0.5
MLP_LANDSCAPE,val@0.5,Accuracy,0.6335690968443961,0.6245312767582227,0.6425138952556007,0.5
MLP_LANDSCAPE,val@0.5,Sensitivity,0.7085600290170475,0.6964237545132721,0.7204059092537565,0.5
MLP_LANDSCAPE,val@0.5,Specificity,0.5585781646717447,0.5454354775160377,0.5716392889159192,0.5
MLP_LANDSCAPE,val@0.5,Precision,0.6161488724175997,0.6041119872593503,0.6280451138376697,0.5
MLP_LANDSCAPE,val@0.5,F1,0.6591311682834248,0.6506876910595989,0.6674489262601783,0.5
MLP_LANDSCAPE,val@0.5,Brier,0.22101817543012778,0.21831003774341748,0.2237435563851666,0.5
MLP_LANDSCAPE,val@0.5,ECE,0.01652735156470913,0.012143413449789928,0.02573628305055292,0.5
MLP_LANDSCAPE,val@J,AUC,0.6899860959980656,0.6802250106238289,0.6997471813723023,0.5203418135643005
MLP_LANDSCAPE,val@J,Accuracy,0.6396445411679361,0.6306367941467269,0.6485550353857156,0.5203418135643005
MLP_LANDSCAPE,val@J,Sensitivity,0.681537903518317,0.6691184499410724,0.6937045878248368,0.5203418135643005
MLP_LANDSCAPE,val@J,Specificity,0.5977511788175554,0.5847448290251457,0.6106214220795746,0.5203418135643005
MLP_LANDSCAPE,val@J,Precision,0.6288487282463187,0.6165208722082506,0.6410110390648135,0.5203418135643005
MLP_LANDSCAPE,val@J,F1,0.6541340295909488,0.6453931639145141,0.6633894555252171,0.5203418135643005
MLP_LANDSCAPE,val@J,Brier,0.22101817543012778,0.21831003774341748,0.2237435563851666,0.5203418135643005
MLP_LANDSCAPE,val@J,ECE,0.01652735156470913,0.012143413449789928,0.02573628305055292,0.5203418135643005
MLP_LANDSCAPE,test@J,AUC,0.6844875622737253,0.6679985624400097,0.700976562107441,0.5203418135643005
MLP_LANDSCAPE,test@J,Accuracy,0.6175615725868135,0.605714851354162,0.6292702051827562,0.5203418135643005
MLP_LANDSCAPE,test@J,Sensitivity,0.6744868035190615,0.6451671862339201,0.7025008952730409,0.5203418135643005
MLP_LANDSCAPE,test@J,Specificity,0.607000362713094,0.5940385895862171,0.619813150955128,0.5203418135643005
MLP_LANDSCAPE,test@J,Precision,0.24151207560378019,0.22617175474467688,0.2575465773404383,0.5203418135643005
MLP_LANDSCAPE,test@J,F1,0.3556701030927835,0.34231047645624346,0.369078830259451,0.5203418135643005
MLP_LANDSCAPE,test@J,Brier,0.22426591622349315,0.2208427664675087,0.22766051569943382,0.5203418135643005
MLP_LANDSCAPE,test@J,ECE,0.29774808091423066,0.2935646621556547,0.3022454659392836,0.5203418135643005
PersLayE2E__perslay_e2e_std,val@0.5,AUC,0.6769762305176562,0.6670759517813273,0.6868765092539851,0.5
PersLayE2E__perslay_e2e_std,val@0.5,Accuracy,0.6223249909321726,0.6132355610031067,0.6313292299314809,0.5
