model_tag,split,metric,value,ci_low,ci_high,threshold
TopoPool,val@0.5,AUC,0.7313957141397861,0.720038393549262,0.7427530347303102,0.5
TopoPool,val@0.5,Accuracy,0.8496902011780004,0.843461409901359,0.8557135421535037,0.5
TopoPool,val@0.5,Sensitivity,0.05379587732528909,0.04471316990328707,0.06459881668575469,0.5
TopoPool,val@0.5,Specificity,0.9925117286178275,0.9907273870956748,0.9939548019984361,0.5
TopoPool,val@0.5,Precision,0.5631578947368421,0.4920714675468014,0.6317410550477602,0.5
TopoPool,val@0.5,F1,0.0982101881597063,0.08110159682777839,0.11616492225512957,0.5
TopoPool,val@0.5,Brier,0.11806271959782984,0.11678357980772629,0.11936549211380933,0.5
TopoPool,val@0.5,ECE,0.03177674796127812,0.03030782090903705,0.03632300153426428,0.5
TopoPool,val@J,AUC,0.7313957141397861,0.720038393549262,0.7427530347303102,0.18717274069786072
TopoPool,val@J,Accuracy,0.614166602922053,0.6057896631364815,0.6224764674425148,0.18717274069786072
TopoPool,val@J,Sensitivity,0.7340372046254399,0.7141817399148261,0.75299039557002,0.18717274069786072
TopoPool,val@J,Specificity,0.5926560808372429,0.5834784416025429,0.6017695174008737,0.18717274069786072
TopoPool,val@J,Precision,0.24435146443514644,0.2336224991010735,0.25540894268554515,0.18717274069786072
TopoPool,val@J,F1,0.36664992466097435,0.3574356245039831,0.3761851501061574,0.18717274069786072
TopoPool,val@J,Brier,0.11806271959782984,0.11678357980772629,0.11936549211380933,0.18717274069786072
TopoPool,val@J,ECE,0.03177674796127812,0.03030782090903705,0.03632300153426428,0.18717274069786072
TopoPool,test@J,AUC,0.733660714392514,0.7223168719509017,0.7450045568341264,0.18717274069786072
TopoPool,test@J,Accuracy,0.6153434297078171,0.606971220408811,0.6236478775131767,0.18717274069786072
TopoPool,test@J,Sensitivity,0.734733756717147,0.7151822119630172,0.7534059355345514,0.18717274069786072
TopoPool,test@J,Specificity,0.5931803754420967,0.5839806387058166,0.6023152125827305,0.18717274069786072
TopoPool,test@J,Precision,0.25108514190317194,0.2402655386663351,0.2622238046893169,0.18717274069786072
TopoPool,test@J,F1,0.3742690058479532,0.3650713345170377,0.3834903914362543,0.18717274069786072
TopoPool,test@J,Brier,0.11955950460909473,0.11820252042160977,0.12089879043846188,0.18717274069786072
TopoPool,test@J,ECE,0.030616180152849275,0.02745550680340783,0.03638114195373891,0.18717274069786072
